Feature Type,Alpha,Gamma,Polynomial Dimension,Protos per dimension,Epsilon,Simulations,MIN,MAX,Delta,Mean,STDEV
NRB,0.125,0.8,2,18,0.5,1000,122,234,112,189.472,25.08099424409392
NRB,0.2,0.9,2,18,0.5,1000,153,307,154,260.573,21.484092655665894
NRB,0.125,0.99,2,21,0.25,986,118,1115,997,207.81744421906694,56.3998698558407
NRB,0.175,0.9,2,52,0.75,1000,157,350,193,233.684,46.586569442838915
NRB,0.075,0.9,2,21,0.5,988,158,1464,1306,184.22874493927125,48.31312826090162
NRB,0.025,0.8,2,18,0.5,1000,157,335,178,266.67,27.425923526497357
NRB,0.075,1.0,2,8,0.5,1000,136,271,135,187.689,30.87065396580183
NRB,0.025,0.99,2,18,0.75,1000,183,350,167,286.347,36.72777587222674
NRB,0.05,0.8,2,18,0.75,1000,131,235,104,168.716,34.48162302337763
NRB,0.175,0.95,2,21,0.5,978,165,984,819,235.04907975460122,68.26927271401455
NRB,0.1,0.9,2,36,0.5,1000,207,379,172,289.179,48.04842984542378
NRB,0.05,1.0,2,18,0.25,1000,162,352,190,273.684,38.235063280502935
NRB,0.05,0.9,2,12,0.5,1000,89,200,111,136.128,28.569386164666295
NRB,0.175,0.8,2,27,0.75,1000,126,291,165,188.918,25.022337888242845
NRB,0.2,0.9,2,36,0.25,1000,157,367,210,213.484,29.669850758708648
NRB,0.1,0.8,2,18,0.5,1000,136,323,187,195.163,36.16877951509577
NRB,0.175,0.99,2,27,0.75,999,116,290,174,157.77677677677679,32.85288183570877
NRB,0.175,1.0,2,18,0.5,1000,214,268,54,243.074,16.170343348364746
NRB,0.2,0.95,2,36,0.75,1000,160,332,172,246.895,29.958729954731066
NRB,0.125,0.9,2,18,0.25,1000,160,215,55,181.429,12.741322549103774
NRB,0.4,0.95,2,18,0.75,1000,191,271,80,224.252,18.647848085992074
NRB,0.075,1.0,2,18,0.5,1000,172,377,205,248.415,59.21005493668795
NRB,0.4,1.0,2,27,0.25,994,159,564,405,211.90845070422534,35.21993434749957
NRB,0.2,0.95,2,36,0.25,1000,161,410,249,274.47,59.78417221344833
NRB,0.175,0.9,2,27,0.5,1000,157,281,124,192.141,27.468302215947507
NRB,0.1,0.95,2,18,0.5,1000,134,283,149,175.867,19.532199513055815
NRB,0.2,1.0,2,27,0.25,999,170,400,230,238.65865865865865,51.7950775916791
NRB,0.025,0.99,2,8,0.75,1000,206,236,30,220.832,10.325424465385934
NRB,0.1,1.0,2,18,0.5,1000,164,217,53,180.117,16.665144404956052
NRB,0.175,0.8,2,27,0.25,998,157,321,164,198.73446893787576,37.49999176554289
NRB,0.125,0.95,2,36,0.75,1000,158,711,553,277.12,86.83876191293017
NRB,0.2,0.8,2,27,0.25,999,169,297,128,268.2272272272272,19.867078825573287
NRB,0.15,0.9,2,27,0.25,994,212,1318,1106,292.3631790744467,90.65160720903515
NRB,0.175,0.9,2,18,0.75,1000,158,270,112,207.644,39.42742428546133
NRB,0.175,0.9,2,36,0.25,1000,159,351,192,218.063,32.50426985118353
NRB,0.125,0.9,2,12,0.25,1000,160,197,37,177.93,12.582663606066221
NRB,0.1,0.9,2,12,0.75,1000,164,350,186,236.588,41.29919950652651
NRB,0.125,1.0,2,21,0.75,999,130,394,264,194.5955955955956,38.48770228364861
NRB,0.05,0.9,2,12,0.25,1000,149,342,193,210.09,52.38379484117166
NRB,0.175,1.0,2,36,0.75,1000,129,367,238,230.746,40.977122990866604
NRB,0.05,0.9,2,8,0.25,1000,206,244,38,215.609,6.118132930114427
NRB,0.175,0.8,2,21,0.75,993,137,672,535,213.66565961732124,37.46217176700996
NRB,0.1,0.8,2,18,0.5,1000,151,235,84,183.848,24.81702602611322
NRB,0.2,0.9,2,36,0.5,1000,170,394,224,284.975,44.17399366954177
NRB,0.2,1.0,2,36,0.5,1000,160,391,231,231.689,45.21270250126028
NRB,0.2,0.95,2,18,0.75,1000,155,278,123,235.448,30.112689519039478
NRB,0.5,0.8,2,36,0.75,1000,157,426,269,223.376,44.60733615044098
NRB,0.15,0.95,2,21,0.75,997,139,332,193,208.63691073219658,36.135462474945136
NRB,0.2,0.9,2,36,0.25,991,172,438,266,265.9233097880928,36.68960951010428
NRB,0.175,0.99,2,18,0.25,1000,162,227,65,177.481,21.41495363616833
NRB,0.175,1.0,2,8,0.25,994,135,267,132,205.1810865191147,32.21062049910121
NRB,0.4,1.0,2,52,0.75,1000,161,356,195,229.849,41.72024422001599
NRB,0.2,0.9,2,18,0.75,1000,174,317,143,239.703,37.64263219753314
NRB,0.175,0.8,2,36,0.75,1000,141,272,131,175.17,24.537016223762112
NRB,0.1,0.9,2,18,0.5,1000,119,224,105,153.808,18.131737255318253
NRB,0.01,1.0,2,12,0.5,1000,145,292,147,235.963,23.464360362200527
NRB,0.075,1.0,2,18,0.5,1000,175,257,82,203.246,23.868623655233982
NRB,0.175,1.0,2,8,0.75,1000,196,302,106,237.853,31.5570156421078
NRB,0.15,0.99,2,18,0.75,1000,149,333,184,254.017,29.131105923605652
NRB,0.125,0.8,2,27,0.25,995,168,946,778,268.7155778894472,45.05295909573985
NRB,0.01,0.95,2,12,0.75,1000,155,220,65,195.605,19.9366608399061
NRB,0.2,1.0,2,27,0.75,996,148,468,320,211.64156626506025,47.66369876600966
NRB,0.4,0.9,2,36,0.75,1000,133,294,161,184.392,23.905099660737452
NRB,0.025,0.8,2,12,0.75,1000,149,217,68,169.359,22.010146877419185
NRB,0.5,0.95,2,8,0.25,987,181,632,451,289.3161094224924,68.53035167922367
NRB,0.4,0.95,2,21,0.25,995,164,299,135,203.79798994974874,28.026223635148988
NRB,0.025,0.8,2,18,0.5,1000,240,285,45,263.667,12.651884491299358
NRB,0.075,0.99,2,18,0.75,1000,170,978,808,209.944,55.94496137010645
NRB,0.2,0.8,2,18,0.25,1000,120,294,174,185.13,40.170994620606656
NRB,0.5,0.99,2,27,0.25,999,209,275,66,236.34134134134135,12.831207362027055
NRB,0.075,0.8,2,12,0.5,1000,144,248,104,191.014,37.600393529770315
NRB,0.01,1.0,2,18,0.75,1000,157,365,208,228.242,48.82320289719982
NRB,0.01,0.9,2,8,0.25,999,163,272,109,222.24624624624624,27.07936497479769
NRB,0.125,0.9,2,8,0.5,1000,189,214,25,195.969,5.169599961676315
NRB,0.5,0.95,2,8,0.25,1000,178,283,105,192.405,15.437074796679527
NRB,0.15,0.8,2,8,0.25,1000,203,247,44,225.512,11.44757192171785
NRB,0.125,0.95,2,52,0.75,1000,165,440,275,275.855,48.97647057179263
NRB,0.4,0.9,2,36,0.5,997,201,555,354,295.494483450351,37.172900313667974
NRB,0.5,1.0,2,52,0.5,1000,166,524,358,245.016,47.74764477523034
NRB,0.4,0.99,2,21,0.25,980,178,473,295,219.75102040816327,24.935161045463882
NRB,0.15,0.8,2,52,0.75,1000,170,298,128,251.641,17.204246717165653
NRB,0.075,0.8,2,27,0.5,994,211,558,347,289.4456740442656,23.750371097930582
NRB,0.15,1.0,2,36,0.5,1000,162,296,134,193.625,22.811065729590972
NRB,0.5,0.9,2,52,0.75,1000,165,372,207,237.157,40.465093287607466
NRB,0.075,0.99,2,12,0.75,1000,158,284,126,182.139,42.401032139872804
NRB,0.15,1.0,2,52,0.5,990,201,424,223,271.73737373737373,49.95846320368685
NRB,0.2,0.99,2,12,0.25,1000,116,225,109,154.496,26.067441291685984
NRB,0.175,0.95,2,21,0.5,992,166,878,712,211.7429435483871,45.78858813983451
NRB,0.5,0.95,2,27,0.75,1000,162,430,268,219.418,50.19484832927378
NRB,0.2,1.0,2,21,0.25,999,169,354,185,207.5975975975976,28.247691913342166
NRB,0.01,0.99,2,12,0.75,1000,140,247,107,180.841,27.699873682058588
NRB,0.125,0.8,2,18,0.25,1000,124,193,69,155.676,15.442651958115857
NRB,0.025,0.9,2,12,0.75,1000,162,218,56,186.099,16.06403598888686
NRB,0.025,0.8,2,12,0.5,1000,176,272,96,254.724,14.2648276999517
NRB,0.15,0.99,2,12,0.75,991,177,382,205,234.05348133198788,39.013649068315324
NRB,0.2,1.0,2,12,0.75,1000,170,295,125,256.464,26.4453788413413
NRB,0.125,0.8,2,12,0.25,1000,162,368,206,239.135,34.04549707187238
NRB,0.05,0.9,2,18,0.25,1000,220,511,291,273.458,60.43698259232392
NRB,0.05,0.8,2,27,0.75,995,156,495,339,190.8824120603015,22.537543955282104
NRB,0.05,1.0,2,8,0.25,1000,160,329,169,192.414,38.526807795597584
NRB,0.05,0.8,2,36,0.75,1000,152,399,247,274.32,59.682909192244054
NRB,0.075,0.8,2,8,0.25,1000,179,444,265,255.113,66.95714667225964
NRB,0.15,0.95,2,18,0.5,1000,163,243,80,186.163,20.847807128378324
NRB,0.4,0.9,2,27,0.75,993,163,255,92,193.07049345417926,21.16346387250609
NRB,0.1,0.8,2,12,0.25,1000,154,270,116,190.856,31.890221859533217
NRB,0.05,0.9,2,12,0.5,1000,136,167,31,155.547,9.133302152464255
NRB,0.5,0.95,2,12,0.5,1000,211,320,109,249.664,29.366434776654305
NRB,0.1,0.9,2,27,0.75,996,156,230,74,183.43072289156626,21.529323695215904
NRB,0.175,0.9,2,52,0.75,1000,149,381,232,218.234,40.302475526120396
NRB,0.025,0.99,2,8,0.75,1000,162,197,35,174.601,12.749444981933424
NRB,0.1,0.8,2,36,0.5,989,162,549,387,238.32962588473205,66.18996815663606
NRB,0.125,0.9,2,8,0.75,1000,158,266,108,245.378,14.734524838698471
NRB,0.1,0.8,2,8,0.5,1000,206,322,116,239.715,27.99087823317204
NRB,0.4,0.99,2,8,0.25,1000,197,216,19,204.999,5.674962925359443
NRB,0.4,1.0,2,36,0.75,1000,195,315,120,235.575,28.964587383947357
NRB,0.01,0.99,2,12,0.75,1000,123,227,104,190.517,17.23353433587277
NRB,0.2,0.8,2,36,0.75,1000,125,253,128,192.305,29.008299785689896
NRB,0.05,0.9,2,12,0.25,1000,153,253,100,197.861,31.026897159518665
NRB,0.075,1.0,2,18,0.75,1000,157,206,49,176.376,14.258117614815706
NRB,0.15,0.99,2,36,0.5,1000,196,571,375,285.995,54.239495737865205
