Feature Type,Alpha,Gamma,Polynomial Dimension,Protos per dimension,Epsilon,Simulations,MIN,MAX,Delta,Mean,STDEV
POLYNOMIAL,0.15,0.99,3,35,0.75,1000,83,193,110,134.19,35.41143699244454
POLYNOMIAL,0.025,0.99,4,35,0.25,1000,192,315,123,238.988,42.60080615064326
POLYNOMIAL,0.025,0.95,8,35,0.5,1000,113,226,113,166.988,40.50610572000968
POLYNOMIAL,0.01,1.0,6,35,0.75,945,118,134,16,122.46878306878307,3.2549390600222905
POLYNOMIAL,0.05,0.95,5,35,0.75,1000,87,235,148,149.315,33.57110057465787
POLYNOMIAL,0.01,0.99,10,35,0.5,1000,268,376,108,297.749,28.84607590461994
POLYNOMIAL,0.4,0.8,5,35,0.75,1000,204,349,145,234.642,35.14554089845603
POLYNOMIAL,0.025,1.0,5,35,0.25,1000,87,247,160,152.605,30.05218975564192
POLYNOMIAL,0.01,0.99,6,35,0.75,1000,86,261,175,156.037,53.473554698112714
POLYNOMIAL,0.01,0.9,4,35,0.25,1000,143,284,141,206.595,36.63024364851741
POLYNOMIAL,0.01,0.95,4,35,0.5,1000,157,296,139,235.941,18.378827500694932
POLYNOMIAL,0.01,0.9,4,35,0.5,1000,155,166,11,159.236,2.9670030514151997
POLYNOMIAL,0.125,0.99,4,35,0.75,1000,86,267,181,152.251,52.237924918585726
POLYNOMIAL,0.075,1.0,3,35,0.75,1000,83,261,178,141.362,42.92768036758732
POLYNOMIAL,0.01,1.0,5,35,0.75,1000,89,260,171,147.692,37.18768694151412
POLYNOMIAL,0.025,0.99,7,35,0.75,991,90,260,170,152.01513622603431,32.691808088843715
POLYNOMIAL,0.025,0.99,10,35,0.75,1000,83,235,152,142.174,41.169705715108876
POLYNOMIAL,0.025,0.99,9,35,0.25,1000,203,321,118,247.163,29.18794900926352
POLYNOMIAL,0.5,0.8,6,35,0.5,1000,117,255,138,188.775,36.71673315388358
POLYNOMIAL,0.4,0.8,5,35,0.75,1000,113,272,159,195.161,50.23250325619243
POLYNOMIAL,0.01,0.99,4,35,0.75,1000,137,207,70,181.194,24.906438820005857
POLYNOMIAL,0.025,1.0,8,35,0.5,1000,87,221,134,187.644,23.217931353510725
POLYNOMIAL,0.025,0.9,7,35,0.5,1000,84,266,182,155.986,45.51170310062148
POLYNOMIAL,0.4,0.9,4,35,0.75,1000,183,316,133,237.67,31.85139889567822
